country,name,full_name,tag,id,symbol,currency,class,market
ecuador,Ecuador General Adj,Ecuador General Adj,ecuador-general-adj,41170,BVQA,USD,additional_indices,world_indices
egypt,EGX 70,EGX 70,egx70,12891,EGX70,EGP,additional_indices,world_indices
egypt,EGX 30 Capped,EGX 30 Capped,egx-20-capped,40525,EGX30CAP,EGP,additional_indices,world_indices
egypt,EGX 30,EGX 30,egx30,12860,EGX30,EGP,major_indices,world_indices
egypt,EGX 100,EGX 100,egx-100,40524,EGX100,EGP,additional_indices,world_indices
egypt,MSCI Egypt,MSCI Egypt,msci-egypt,942917,MIEG00000PEG,EGP,major_indices,global_indices
egypt,DJ EGX Egypt Titans 20 USD,Dow Jones EGX Egypt Titans 20 USD,dj-egx-egypt-titans-20-usd,954348,DJEG20D,USD,additional_indices,global_indices
egypt,DJ EGX Egypt Titans 20 EUR,Dow Jones EGX Egypt Titans 20 EUR,dj-egx-egypt-titans-20-eur,954349,DJEG20E,EUR,additional_indices,global_indices
estonia,DJ Estonia Total Market (EUR),DJ Estonia Total Market (EUR),dj-estonia-total-market-(eur),41121,DWEE,EUR,additional_indices,world_indices
euro zone,MSCI EMU,MSCI EMU,msci-emu,942960,MIEM00000PEU,EUR,additional_indices,global_indices
euro zone,FTSE All World Europe,FTSE All World Europe,ftse-all-world-europe,961200,FTAWEURSR,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe Classic ADR TR,BNY Mellon Europe Classic ADR Total Return,bny-europe-classic-adr-tr,956139,BKCEUT,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe ADR TR,BNY Mellon Europe ADR Total Return,bny-europe-adr-tr,956134,BKEURT,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe Classic ADR,BNY Mellon Europe Classic ADR,bny-europe-classic-adr,956014,BKCEU,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe ADR,BNY Mellon Europe ADR,bny-europe-adr,956008,BKEUR,USD,additional_indices,global_indices
euro zone,The Europe Dow USD,The Europe Dow USD,the-europe-dow-usd,954682,EDOW,USD,additional_indices,global_indices
euro zone,STOXX Europe 600 EUR NR,STOXX Europe 600 EUR NR,stoxx-europe-600-eur-nr,948469,STOXXR,EUR,additional_indices,global_indices
euro zone,MSCI Europe FX Hedge,MSCI Europe FX Hedge,msci-europe-fx-hedge,943113,MIEU00000FUS,USD,additional_indices,global_indices
euro zone,MSCI Europe Standard,MSCI Europe Standard,msci-europe-standard,943004,MIEU00000PEU,EUR,additional_indices,global_indices
euro zone,MSCI Europe Ex Switzerland,MSCI Europe Ex Switzerland,msci-europe-ex-switzerland,942964,MIEUC0000PEU,EUR,additional_indices,global_indices
euro zone,FTSE RAFI Europe NR,FTSE RAFI Europe NR,ftse-rafi-europe,942887,TFTFREUNE,EUR,additional_indices,global_indices
euro zone,MSCI Europe,MSCI Europe,msci-europe,942958,MIEU00000PUS,USD,major_indices,global_indices
euro zone,FTSE Europe,FTSE Europe,ftse-europe,943748,FTFREU,EUR,major_indices,global_indices
euro zone,MSCI Mexico Net USD,MSCI Mexico Net USD,msci-mexico-net-usd,951357,MIMX00000NUS,USD,major_indices,global_indices
euro zone,DJ Europe,Dow Jones Europe,dj-europe,954661,E1DOW,USD,major_indices,global_indices
euro zone,The Europe Dow EUR,The Europe Dow EUR,the-europe-dow-eur,954683,EDOWE,EUR,major_indices,global_indices
euro zone,FTSE4Good Europe 50,FTSE4Good Europe 50,ftse4good-europe-50,961148,FT4GDEU50,EUR,major_indices,global_indices
euro zone,STOXX 600,STOXX 600,stoxx-600?cid=1096538,1096538,STOXX,EUR,major_indices,global_indices
euro zone,MSCI EU,MSCI EU,msci-eu,942950,MIEC00000PEU,EUR,major_indices,global_indices
euro zone,STOXX 600,STOXX 600,stoxx-600,40823,STOXX,EUR,major_indices,global_indices
finland,OMX Helsinki Small Cap PI,OMX Helsinki Small Cap PI,omx-helsinki-small-cap-pi,25819,OMXHSCPI,EUR,additional_indices,world_indices
finland,OMX Helsinki Cap PI,OMX Helsinki Cap PI,omx-helsinki-cap-pi,25822,OMXHCAPPI,EUR,additional_indices,world_indices
finland,OMX Helsinki Benchmark,OMX Helsinki Benchmark,omx-helsinki-benchmark,25820,OMXHBPI,EUR,additional_indices,world_indices
finland,OMX Helsinki,OMX Helsinki,omx-helsinki,25824,OMXHPI,EUR,additional_indices,world_indices
finland,OMX Helsinki 25,OMX Helsinki 25,omx-helsinki-25,25823,OMXH25,EUR,major_indices,world_indices
finland,OMX Helsinki Mid Cap,OMX Helsinki Mid Cap,omx-helsinki-mid-cap,25821,OMXHMCPI,EUR,additional_indices,world_indices
finland,BNY Mellon Finland Classic ADR TR,BNY Mellon Finland Classic ADR TR,bny-finland-adr-tr,956067,BKCFITR,USD,additional_indices,global_indices
finland,BNY Mellon Finland Classic ADR,BNY Mellon Finland Classic ADR,bny-finland-adr,955982,BKCFI,USD,additional_indices,global_indices
finland,DJ Finland USD,Dow Jones Finland USD,dj-finland-usd,954689,FIDOWD,USD,major_indices,global_indices
finland,DJ Finland,Dow Jones Finland,dj-finland,954688,FIDOW,EUR,major_indices,global_indices
finland,MSCI Finland,MSCI Finland,msci-finland,942897,MIFI00000PEU,EUR,major_indices,global_indices
france,BNY Mellon France ADR,BNY Mellon France ADR,bny-france-adr,955985,BKFR,USD,additional_indices,global_indices
france,CAC 40,CAC 40,france-40,167,FCHI,EUR,major_indices,world_indices
france,CAC Next 20,CAC Next 20,cac-next-20,14792,CN20,EUR,additional_indices,world_indices
france,CAC All Shares,CAC All Shares,cac-allshares,14796,PAX,EUR,additional_indices,world_indices
france,CAC All-Tradable,CAC All-Tradable,cac-all-tradable,14791,CACT,EUR,additional_indices,world_indices
france,CAC Large 60,CAC Large 60,cac-large-60,19643,CACLG,EUR,additional_indices,world_indices
france,CAC Mid & Small,CAC Mid & Small,cac-mid---small-190,14795,CACMS,EUR,additional_indices,world_indices
france,CAC Mid 60,CAC Mid 60,cac-mid-100,14794,CACMD,EUR,additional_indices,world_indices
france,CAC Small,CAC Small,cac-small,14793,CACS,EUR,additional_indices,world_indices
france,EuroNext 100,EuroNext 100,euronext-100,14865,N100,EUR,additional_indices,world_indices
france,Next 150,Next 150,next-150-index,14866,N150,EUR,additional_indices,world_indices
france,SBF 120,SBF 120,sbf-120,14790,SBF120,EUR,additional_indices,world_indices
france,TR France 50,Thomson Reuters France 50,thomson-reuters-france-50,941627,TRX50FRP,EUR,additional_indices,global_indices
france,BNY Mellon France Classic ADR TR,BNY Mellon France Classic ADR Total Return,bny-france-classic-adr-tr,956100,BKCFRT,USD,additional_indices,global_indices
france,BNY Mellon France ADR TR,BNY Mellon France ADR Total Return,bny-france-adr-tr,956061,BKFRT,USD,additional_indices,global_indices
france,BNY Mellon France Classic ADR,BNY Mellon France Classic ADR,bny-france-classic-adr,956034,BKCFR,USD,additional_indices,global_indices
france,DJ France Titans 30 USD,Dow Jones France Titans 30 USD,dj-france-titans-30-usd,954691,FR30D,USD,additional_indices,global_indices
france,DJ France USD,Dow Jones France USD,dj-france-usd,954693,FRDOWD,USD,major_indices,global_indices
france,DJ France,Dow Jones France,dj-france,954692,FRDOW,EUR,major_indices,global_indices
france,DJ France Titans 30 EUR,Dow Jones France Titans 30 EUR,dj-france-titans-30-eur,954690,FR30,EUR,major_indices,global_indices
france,MSCI France Net EUR,MSCI France Net EUR,msci-france-net-eur,951337,MIFR00000NEU,EUR,major_indices,global_indices
france,MSCI France,MSCI France,msci-france,942894,MIFR00000PEU,EUR,major_indices,global_indices
germany,Technology All Share,DAX Technology All Share,dax-technology-all-share,19131,TECALL,EUR,additional_indices,world_indices
germany,Midcap,DAX Midcap,mdaxi,13782,MDAXI,EUR,additional_indices,world_indices
germany,Classic All Share,Classic All Share,classic-all-share,19128,CLALL,EUR,additional_indices,world_indices
germany,XETRA DAX Price,XETRA DAX Price,xetra-dax-price,951163,DAX,EUR,additional_indices,world_indices
germany,Prime All Share,Prime All Share,prime-all-share,19126,PRIME,EUR,additional_indices,world_indices
germany,HDAX,HDAX,hdax,19118,GDAXHI,EUR,additional_indices,world_indices
germany,TecDAX,TecDAX,tecdax,13784,TECDAX,EUR,additional_indices,world_indices
germany,SDAX,SDAX,sdaxi,13783,SDAXI,EUR,additional_indices,world_indices
germany,BNY Mellon Germany Classic ADR TR,BNY Mellon Germany Classic ADR Total Return,bny-germany-classic-adr-tr,956115,BKCDET,USD,additional_indices,global_indices
germany,BNY Mellon Germany Classic ADR,BNY Mellon Germany Classic ADR,bny-germany-classic-adr,956030,BKCDE,USD,additional_indices,global_indices
germany,BNY Mellon Germany ADR TR,BNY Mellon Germany ADR Total Return,bny-germany-adr-tr,956022,BKDET,USD,additional_indices,global_indices
germany,BNY Mellon Germany ADR,BNY Mellon Germany ADR,bny-germany-adr,956000,BKDE,USD,additional_indices,global_indices
germany,DJ Germany Titans 30 USD,Dow Jones Germany Titans 30 USD,dj-germany-titans-30-usd,954231,DE30D,USD,additional_indices,global_indices
germany,DJ Germany Titans 30 EUR,Dow Jones Germany Titans 30 EUR,dj-germany-titans-30-eur,954230,DE30,EUR,additional_indices,global_indices
germany,TR Germany 50,Thomson Reuters Germany 50,thomson-reuters-germany-50,941628,TRX50DEP,EUR,additional_indices,global_indices
germany,DJ Germany USD,Dow Jones Germany USD,dj-germany-usd,954233,DEDOWD,USD,major_indices,global_indices
germany,DJ Germany,Dow Jones Germany,dj-germany,954232,DEDOW,EUR,major_indices,global_indices
germany,MSCI Germany Net EUR,MSCI Germany Net EUR,msci-germany-net-eur,951296,MIDE00000NEU,EUR,major_indices,global_indices
germany,MSCI Germany,MSCI Germany,msci-germany,942905,MIDE00000PEU,EUR,major_indices,global_indices
germany,DAX,DAX,germany-30,172,GDAXI,EUR,major_indices,world_indices
